Handle,Command,Title,Author,Body HTML,Summary HTML,Tags,Tags Command,Published,Published At,Image Src,Image Alt Text,Blog: Handle,Metafield: sga.thumbnail [file_reference],Metafield: sga.total_time_minutes [number_integer],Metafield: sga.servings [number_integer],Metafield: sga.dietary [list.single_line_text_field],Metafield: sga.main_product [product_reference],Metafield: sga.related_products [list.product_reference],Metafield: sga.related_articles [list.article_reference],Metafield: sga.you_might_also_like [list.article_reference],Metafield: sga.you_might_also_like_heading [single_line_text_field],Metafield: sga.related_products_heading [single_line_text_field],Metafield: sga.ingredients [list.single_line_text_field],Metafield: sga.ingredient_products [list.product_reference],Metafield: sga.eyebrow [single_line_text_field],Metafield: sga.serving_tip [single_line_text_field],Metafield: sga.difficulty [single_line_text_field],Metafield: sga.instructions [list.single_line_text_field]
pstruhove-rizoto-na-chrestu,MERGE,Pstruh na chřestovém rizotu,Sonnentor,,Super recept na sezónu chřestu!,Valentýn,REPLACE,TRUE,,https://www.sonnentor.com/at/recipes/36956/image-thumb__36956__thumb-slider/forelle-auf-spargelrisotto.38c5c0bc.jpg,Pstruh na chřestovém rizotu,recipes,pstruhove-rizoto-na-chrestu-thumb.jpg,150,4,bez laktózy,,,,"valentynska-srdicka, ruzovy-napoj","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""1||kůry z citronu"",""400|g|cherry rajčat"",""4|plátky|žlutého melounu"",""4|ks|pstruha"",""3|lžíce|olivového oleje"",""2|ks|limetky"",""||trochu másla""]","koreni-na-ryby-rybare-svena-bio-35g, pepr-cerny-bio-mlety-50g, smokey-salt-konv-uzena-morska-sul-150g",Recept,,,"[""Citrusové plody a zeleninu omyjte v teplé vodě. Citrony a limetky nakrájejte na tenké plátky a rajčata rozpůlte. Pstruha osolte a opepřete, každého okořeňte 1 čajovou lžičkou Koření na ryby rybáře Svena a naplňte plátky citronu a oloupaným plátkem melounu."",""4 pláty alobalu (cca 30 x 30 cm) potřete olivovým olejem, navrch položte pstruha a na každý rozdělte rozpůlená cherry rajčátka a 1 čajovou lžičku Koření na ryby rybáře Svena. Přeložte pstruha alobalem, konce pevně uzavřete a položte je vedle sebe na plech."",""Pečte v předehřáté troubě na 220 °C asi 30 minut. Vyjměte z trouby a podávejte. Alobal otevřete až u stolu!"",""Chřest omyjte, odstraňte všechny dřevěné konce a důkladně oloupejte. Slupky vařte v 1 litru vody se solí, trochou cukru a 1 lžící másla po dobu 30 minut, poté sceďte."",""Chřest nakrájejte na 2 cm kousky, přidejte chřestové špičky a vařte do změknutí. V pánvi rozehřejte máslo, přidejte rýži a za stálého míchání restujte 5 minut."",""Deglazujte vínem. Jakmile se víno téměř zredukuje, přidejte kousky chřestu. Postupně přilévejte chřestový vývar na mírném ohni. Pokračujte v dušení, dokud rýže není al dente. Dochuťte solí a pepřem."",""Před podáváním přidejte chřestové špičky a naaranžujte je na talíře.""]"
chai-orechovy-muffin,MERGE,Chai ořechový nákyp,Sonnentor,,S brusinkovo-jablečným želé!,"na pečení, Dezerty & sladké, Cukroví",REPLACE,TRUE,,https://www.sonnentor.com/at/recipes/36970/image-thumb__36970__thumb-slider/chai-kuesschen-nussauflauf.cb5cde5e.jpg,Chai ořechový nákyp,recipes,chai-orechovy-muffin-thumb.jpg,75,4,"vegetariánské, bez lepku",,,,"jablecne-cupcaky, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, kavovy-lanyz, kouzelna-cokoladova-pena, selska-bramborova-pizza, pernikove-muffiny","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""90|g|másla"",""4|cl|mléka"",""40|g|čokolády"",""80|g|lískových ořechů"",""2|lžíce|cukru"",""4||vejce"",""4||jablka"",""4|lžíce|agaru""]","chai-polibek-orientu-bio-70g, brusinka-sirup-bio-500-ml, skorice-cejlon-bio-cela-18-g, badyan-bio-25g, vanilka-lusk-bio-1-ks",Recept,,,"[""Přiveďte k varu 350 ml vody s brusinkovým sirupem, skořicí, badyánem a ¼ vanilkového lusku. Jablka oloupejte, jedno z nich nakrájejte na osminky a ze zbylých pomocí vykrajovače vykrojte 16 kuliček. Přidejte všechny kousky jablek do rozvaru a povařte je na skus. Jablečné kuličky pak z rozvaru vyjměte, nechte vychladnout a uložte si je stranou na ozdobu. Vyjměte také koření."",""Odměřte 300 ml rozvaru a zahustěte ho 2 lžícemi agaru, poté nechte vychladnout. Máslo šlehejte do světlé a nadýchané konzistence, postupně přidávejte žloutky a pokračujte ve šlehání 2 minuty. Bílky šlehejte s 1 lžící krystalového cukru do tuhého sněhu. Do máslové směsi vmíchejte ořechy, rozpuštěnou čokoládu, Chai polibek Orientu a mléko. Postupně vmíchejte vyšlehané bílky."",""Směs rozdělte do 4 formiček na muffiny a pečte ve vodní lázni při 160 °C po dobu 20 minut. Brusinkovo-jablečné želé rozmixujte a pomocí rozprašovače ho naaranžujte na talíř spolu s nákypem a jablečnými kuličkami.""]"
chai-mlecna-ryze,MERGE,Chai mléčná rýže,Sonnentor,,Nebesky sladký dezert nebo skvělá podzimní snídaně!,"Vánoce, Zima, Dezerty & sladké, Rychlá kuchyně",REPLACE,TRUE,,https://www.sonnentor.com/global/recipes/98130/image-thumb__98130__thumb-slider/Chai-Milchreis_%20%283%29.90842603.jpg,Chai mléčná rýže,recipes,chai-mlecna-ryze-thumb.jpg,30,4,"veganské, bez lepku, bez laktózy, vegetariánské",,,,"jablecne-cupcaky, polevka-z-korenove-zeleniny, peceny-kapri-filet-v-makovem-obalu, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, chai-orechovy-muffin, pulmesicky-vsechno-nejmilejsi, kavovy-lanyz","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""1|l|(rostlinného) mléka"",""1||jablko"",""500|g|jasmínové rýže""]","skorice-cassia-bio-mleta-40g, vanilkovy-cukr-bio-50g, chai-koreneny-bio-324-g-porc-dvoukomorovy",Recept,,,"[""V hrnci ohřejte rostlinné mléko, nechte v něm asi 10 minut louhovat čajové sáčky a poté je vyjměte. Přidejte rýži a vařte, dokud se všechna tekutina nevyvaří a rýže nezměkne. Podle chuti přidejte skořici a vanilkový cukr, případně ještě doslaďte medem. Podávejte v miskách ozdobené měsíčky jablek a skořicí.""]"
pulmesicky-vsechno-nejmilejsi,MERGE,Půlměsíčky Všechno nejmilejší,Sonnentor,,Opravdová pochoutka nejen na Vánoce...,"Koření - květy, Svačina, S sebou, Rychlá kuchyně, na pečení, Babiččina kuchyně, Vánoce, Zima, Koláče & keksy, Keksy",REPLACE,TRUE,,https://www.sonnentor.com/at/recipes/36986/image-thumb__36986__thumb-slider/halbmonde-mit-alles-liebe-gewuerz.70fd061e.jpg,Půlměsíčky Všechno nejmilejší,recipes,pulmesicky-vsechno-nejmilejsi-thumb.jpg,40,1,"vegetariánské, bez laktózy",,,,"cokoladove-grissini, jablecne-cupcaky, polevka-z-korenove-zeleniny, bouillabaisse-s-bagetkou, peceny-kapri-filet-v-makovem-obalu, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, chai-orechovy-muffin, chai-mlecna-ryze","Recepty, které by vám také mohly chutnat",,"[""120|g|margarínu"",""120|g|moučkového cukru"",""4||vejce"",""120|g|rozpuštěné čokolády"",""||půl balení prášku do pečiva"",""120|g|hrubé mouky"",""250|g|moučkového cukru"",""0.0625|l|rumu"",""||šťáva z poloviny citronu""]",vsechno-nejmilejsi-smes-kvetu-a-koreni-bio-40g,Recept,,,"[""Na těsto rozklepněte vejce a oddělte žloutky od bílků."",""Margarín ušlehejte s moučkovým cukrem do světlé a nadýchané hmoty, poté přidejte žloutky a rozpuštěnou čokoládu a pokračujte ve šlehání, dokud opět nevznikne světlá a nadýchaná směs."",""Vmíchejte mouku smíchanou s práškem do pečiva."",""Bílky ušlehejte se špetkou soli a vmíchejte do směsi."",""Rozetřete na plech vyložený pečicím papírem a pečte při 180 °C asi 20 minut."",""Na polevu smíchejte moučkový cukr s rumem a šťávou z půlky citronu pomocí mixéru."",""Polevou potřete ještě teplé těsto a posypte směsí koření a květů Všechno nejmilejší. Poté pomocí vykrajovátka vytvořte z těsta půlměsícové tvary.""]"
kavovy-lanyz,MERGE,Kávový lanýž,Sonnentor,,Rychlé a snadné na přípravu.,"Dezerty & sladké, Vánoce, Adventní koření, Světová kuchyně",REPLACE,TRUE,,https://www.sonnentor.com/at/recipes/36991/image-thumb__36991__thumb-slider/kaffeetrueffel.c3115b42.jpg,Kávový lanýž,recipes,kavovy-lanyz-thumb.jpg,30,1,vegetariánské,,,,"jablecne-cupcaky, bouillabaisse-s-bagetkou, paprikova-polevka-s-polentou, peceny-kapri-filet-v-makovem-obalu, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, rolada-z-krkovicky-s-dynovym-pyre, chai-orechovy-muffin, chai-mlecna-ryze","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""200|ml|šlehačky"",""2|lžíce|agávového sirupu"",""300|g|kávové čokolády"",""1|lžička|instantní kávy"",""25|ks|papírových košíčků""]","raraskovo-schlaukakao-bio-300g, aladinovo-koreni-do-kavy-bio-35g",Recept,,,"[""V hrnci jemně zahřejte šlehačku, instantní kávu a agávový sirup, ale nevařte. Rozlámejte kávovou čokoládu, přidejte ji a míchejte, dokud se nerozpustí. Poté vmíchejte Aladinovo koření do kávy. Nechte směs 5 hodin chladit v lednici."",""Pomocí čajové lžičky vydlabejte malé porce a vytvarujte kuličky. Kuličky obalte v kakaovém prášku a vložte je do papírových košíčků.""]"
jablecno-skoricova-zmrzlina-s-polibkem-orientu,MERGE,Jablečno-skořicová zmrzlina s polibkem Orientu,Sonnentor,,Nebeský polibek s jablkem a skořicí!,,REPLACE,TRUE,,https://www.sonnentor.com/at/recipes/36993/image-thumb__36993__thumb-slider/apfel-zimt-eis-mit-kuesschen.688a942a.jpg,Jablečno-skořicová zmrzlina s polibkem Orientu,recipes,jablecno-skoricova-zmrzlina-s-polibkem-orientu-thumb.jpg,270,4,"vegetariánské, veganské, bez lepku, bez laktózy",,,,"bezovo-citronovy-nanuk, makova-zmrzlina-s-letnim-kompotem, jahodova-zmrzlina-na-spejli, malinova-zmrzlina, cokoladova-zmrzlina, vanilkovo-bananova-zmrzlina, ledove-pampeliskove-kafe","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""400|g|hedvábného tofu"",""80|g|sojového jogurtu"",""250|g|neslazeného jablečného pyré"",""30|g|Agáve sirupu"",""1|lžíce|citronovou šťávu""]","chai-polibek-orientu-bio-70g, vanilka-extrakt-bio-etericky-olej-5-ml",Recept,,,"[""Hedvábné tofu rozmixujte se sojovým jogurtem na pyré, přidejte Chai polibek orientu, jablečné pyré a agávový sirup a znovu promíchejte. Dochuťte skořicí, éterickým olejem z vanilky a citronovou šťávou."",""Dejte do mrazáku a každou půl hodinu krátce promíchejte. Zmrzlina bude připravena asi za 4–5 hodin.""]"
kouzelna-cokoladova-pena,MERGE,Kouzelná čokoládová pěna,Sonnentor,,"Výtečná, a navíc veganská!","Koření - květy, Vegetariánské & saláty, Dezerty & sladké, Léto",REPLACE,TRUE,,https://www.sonnentor.com/at/recipes/37000/image-thumb__37000__thumb-slider/aladins-schokomousse.1cf3df70.jpg,Kouzelná čokoládová pěna,recipes,kouzelna-cokoladova-pena-thumb.jpg,30,2,"vegetariánské, veganské, bez lepku, bez laktózy",,,,"cokoladove-grissini, jablecne-cupcaky, polevka-z-korenove-zeleniny, bouillabaisse-s-bagetkou, lososovy-pstruh-peceny-v-troube, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, chai-orechovy-muffin, chai-mlecna-ryze","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""4.5|lžíce|agávového sirupu"",""400|g|hedvábného tofu"",""150|g|hořké čokolády na vaření"",""1|balení|rostlinné šlehačky""]","kava-videnske-pokuseni-instantni-bio-100g, aladinovo-koreni-do-kavy-bio-35g",Recept,,,"[""Čokoládu rozpusťte ve vodní lázni. Smíchejte hedvábné tofu s agávovým sirupem, instantní kávou a Aladinovo kořením do kávy."",""Vyšlehejte sójovou smetanu a vmíchejte ke směsi. Nechte přes noc odpočinout v ledničce, aby se všechny chutě krásně propojily.""]"
orientalni-ledovy-caj,MERGE,Orientální ledový čaj,Sonnentor,,Tento ovocný nealkoholický koktejl zjemněný kořením je skvělým osvěžením!,"Rychlá kuchyně, Léto, Jaro, Nápoje",REPLACE,TRUE,,https://www.sonnentor.com/at/recipes/105985/image-thumb__105985__thumb-slider/orientalischer%20Eistee.484486ad.jpg,Orientální ledový čaj,recipes,orientalni-ledovy-caj-thumb.jpg,5,4,"vegetariánské, veganské, bez lepku, bez laktózy",,,,"polevka-z-korenove-zeleniny, lososovy-pstruh-peceny-v-troube, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, kouzelna-cokoladova-pena, knedliky","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""||1–⁠⁠⁠⁠⁠⁠2 lžíce šťávy z limetky"",""1|l|minerální vody"",""4|plátek|pomeranče""]","cerny-caj-broskev-sirup-bio-500-ml, zazvor-bio-mlety-30-g, hrebicek-bio-mlety-35g, skorice-cejlon-bio-mleta-40g",Recept,,,"[""V džbánku smíchejte sirup se špetkou mletého zázvoru, mletého hřebíčku a mleté ​​skořice."",""Přidejte 2 lžíce limetkové šťávy a zalijte vychlazenou perlivou vodou."",""Ozdobte plátky pomeranče.""]"
pikantni-gulas-okoreneny-stestim,MERGE,Pikantní guláš okořeněný štěstím,Sonnentor,,"Vydatný hovězí guláš, po kterém budete zářit štěstím.","Koření - květy, Recepty fanoušků",REPLACE,TRUE,,https://www.sonnentor.com/at/recipes/37034/image-thumb__37034__thumb-slider/gewuerzgulasch-mit-gluecksblueten.ab556354.jpg,Pikantní guláš okořeněný štěstím,recipes,pikantni-gulas-okoreneny-stestim-thumb.jpg,80,2,"bez lepku, bez laktózy",,,,"cokoladove-grissini, polevka-z-korenove-zeleniny, bouillabaisse-s-bagetkou, pulmesicky-vsechno-nejmilejsi, kouzelna-cokoladova-pena, knedliky, pikantni-kulicky-z-koziho-syra","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""3||cibule"",""300|g|hovězího masa"",""||ocet"",""0.5|l|zeleninového vývaru"",""3||sušených rajčat"",""1||plechovka červených fazolí""]","stesti-smes-kvetu-a-koreni-bio-35g, paprika-sladka-bio-mleta-50g, pepr-cerny-bio-mlety-50g, smokey-salt-konv-uzena-morska-sul-150g",Recept,,,"[""Cibuli nakrájejte na malé kostičky a osmahněte ji na olivovém oleji do sklovata. Hovězí maso nakrájejte na malé kousky, krátce orestujte, přidejte 3 lžičky mleté sladké papriky a trochu octa."",""Přilijte 1/2 l zeleninového vývaru a nechte alespoň hodinu dusit na mírném plameni."",""Přidejte nakrájená rajčata a fazole, povařte a poté dochuťte Štěstím –⁠ směsí květů a koření."",""V případě potřeby dosolte a opepřete.""]"
kvaskovy-chleb,MERGE,Kváskový chléb,Sonnentor,,Jako od babičky!,"Snídaně, Pečivo",REPLACE,TRUE,,https://www.sonnentor.com/at/recipes/37045/image-thumb__37045__thumb-slider/sauerteigbrot.a9d94ef7.jpg,Kváskový chléb,recipes,kvaskovy-chleb-thumb.jpg,300,6,"vegetariánské, bez laktózy, veganské",,,,"cokoladove-grissini, jahlova-kase-s-granolou, korenene-chlebiky, svenova-pomazanka-z-uzeneho-lososa, omeleta-bez-soli, klasicky-farmarsky-chleb, pernickova-granola","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""100|g|kvásku"",""420|g|žitné mouky"",""450|ml|vlažné vody"",""1|balení|suchého droždí"",""280|ml|vlažné vody"",""480|g|mouky"",""1|lžička|třtinového cukru"",""100|g|žitné mouky""]","ayurvedska-kouzelna-sul-jemna-konv-150g, chlebove-koreni-bio-hrube-mlete-45g",Recept,"Chléb se nejlépe peče na kameni (kámen na pizzu, pekařský tál).",,"[""Ingredience na rozkvas smíchejte dřevěnou vařečkou do hladka. Přikryjte vlhkou utěrkou a nechte 3 hodiny odpočinout na teplém místě. Misku s rozkvasem můžete umístit do větší mísy naplněné teplou vodou. Ideální okamžik poznáte tak, že se rozkvas rozbublá a zhruba zdvojnásobí svůj objem."",""Poté smíchejte rozkvas se zbývajícími ingrediencemi a hněťte v robotu, dokud nevznikne hladké těsto. Vraťte na teplé místo, přikryjte utěrkou a nechte kynout půl hodiny až hodinu. Těsto by mělo téměř zdvojnásobit objem."",""Následně do těsta ručně vhněťte dalších 100 g žitné mouky. Jakmile bude těsto hezky hladké, vytvarujte z něj bochník a vložte ho do ošatky (nebo do dvou menších – nezapomeňte je důkladně poprášit moukou, aby se těsto nepřilepilo). Nechte znovu kynout přikryté další půl hodiny. Důkladně předehřejte troubu společně s kamenem nebo tálem na 250 °C. Předehřívání může podle typu trouby a podložky trvat i okolo 40–60 minut."",""Jakmile chléb vykyne a pečící kámen/ tál se dostatečně nahřeje, vyklopte chléb přímo z ošatky na kámen/ tál. Při vkládání chleba troubu ještě zapařte tak, že dospod trouby umístíte horký plech, na který nalijete cca 100 ml vroucí vody."",""Pečte 12 minut při 250 °C, poté vyvětrejte zbývající páru, snižte teplotu na 180 °C a pečte dalších 60 minut. Po upečení nechte chléb vychladnout na mřížce.""]"
knedliky,MERGE,Knedlíky s omáčkou z lišek,Sonnentor,,Chutná a rychlá klasika z Rakouska.,"Podzim, Léto, Vegetariánské & saláty, Koření - květy",REPLACE,TRUE,,https://www.sonnentor.com/at/recipes/109424/image-thumb__109424__thumb-slider/eierschwammerlsauce.560b02db.jpg,Knedlíky s omáčkou z lišek,recipes,knedliky-thumb.jpg,90,2,vegetariánské,,,,"cokoladove-grissini, polevka-z-korenove-zeleniny, bouillabaisse-s-bagetkou, lososovy-pstruh-peceny-v-troube, peceny-kapri-filet-v-makovem-obalu, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, rolada-z-krkovicky-s-dynovym-pyre, pulmesicky-vsechno-nejmilejsi","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""1||cibule"",""||půl lžíce másla"",""200|ml|mléka"",""150|g|na kostičky nakrájených housek"",""1||vejce"",""250|g|lišek"",""1||cibule"",""1.5|lžíce|olivového oleje"",""1|lžíce|mouky"",""125|ml|zakysané smetany"",""125|ml|šlehačky""]","muskatovy-orisek-bio-mlety-30g, ayurvedska-kouzelna-sul-jemna-konv-150g, pepr-barevny-bio-cely-50g, petrzel-bio-15g, paprika-sladka-bio-mleta-50g, libecek-bio-15g",Recept,,,"[""Cibuli nakrájejte na kostičky a orestujte ji na másle. Mléko zahřejte na vlažnou teplotu. Na kostičky nakrájené housky smíchejte s mlékem, nakrájenou cibulí, vejci a kořením."",""Důkladně prohněťte rukama a nechte chvíli odpočinout. Poté vytvarujte knedlíčky a přiveďte k varu velký hrnec osolené vody. Vařte knedlíčky na mírném ohni asi 15–20 minut, dokud nezměknou. Poté je vyjměte z vody a udržujte v teple."",""Lišky očistěte a nakrájejte na menší kousky. Cibuli nakrájejte na kostičky a orestujte ji s houbami na troše olivového oleje."",""Poté je zasypte trochou mouky a zalijte zakysanou smetanou a šlehačkou."",""Dochuťte paprikou, libečkem, solí a pepřem a míchejte do hladké omáčky. Horké knedlíky s omáčkou podávejte na hlubokém talíři a můžete ihned vychutnávat.""]"
orientalni-cizrnovy-gulas-s-datlemi,MERGE,Orientální cizrnový guláš s datlemi,Sonnentor,,"Cizrna má vysoký obsah bílkovin, mnoho vitamínů, vlákniny a minerálů.","Sv. Hildegarda z Bingenu, Vegetariánské & saláty",REPLACE,TRUE,,https://www.sonnentor.com/at/recipes/37071/image-thumb__37071__thumb-slider/orientalischer-kichererbseneintopf-mit-datteln.1e376627.jpg,Orientální cizrnový guláš s datlemi,recipes,orientalni-cizrnovy-gulas-s-datlemi-thumb.jpg,60,1,"vegetariánské, veganské, bez lepku, bez laktózy",,,,"kouzelna-cokoladova-pena, knedliky, selska-bramborova-pizza, wongovy-ryzove-karbanatky, nakladane-ostruziny, nakladane-lisky, silna-polevka-z-cervene-repy","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""2||mrkve"",""1||bulva fenyklu"",""150|g|sušených datlí"",""2|lžíce|slunečnicového oleje"",""500|ml|vody"",""500|g|vařené cizrny"",""||šťáva z poloviny citronu"",""||svazek petrželky""]","kmin-rimsky-bio-mlety-40g, nove-koreni-bio-cele-35g, skorice-cejlon-bio-mleta-40g, hrebicek-bio-cely-35g, galgan-bio-mlety-35g, zeleninova-polevka-sv-hildegardy-bio-cz, ayurvedska-kouzelna-sul-jemna-konv-150g",Recept,,,"[""Mrkev oloupejte, fenykl omyjte a obojí nakrájejte na malé kousky. Datle vypeckujte a nakrájejte na kolečka."",""Rozhřejte olej a orestujte mrkev, fenykl a datle. Přidejte koření a bujónovou kostku a zalijte vodou. Vařte na středním plameni, dokud zelenina téměř nezměkne. Přidejte uvařenou cizrnu a ještě několik minut duste."",""Těsně před podáváním dochuťte solí a citronovou šťávou. Petrželku jemně nasekejte a vmíchejte. Podávejte teplé.""]"
selska-bramborova-pizza,MERGE,Selská bramborová pizza,Sonnentor,,Výborná s jarní cibulkou a čerstvým rozmarýnem!,"Vegetariánské & saláty, Zima, na pečení",REPLACE,TRUE,,https://www.sonnentor.com/at/recipes/37081/image-thumb__37081__thumb-slider/sieglindes-rustikale-kartoffelpizza.e893acfd.jpg,Selská bramborová pizza,recipes,selska-bramborova-pizza-thumb.jpg,60,4,vegetariánské,,,,"jablecne-cupcaky, peceny-kapri-filet-v-makovem-obalu, chai-orechovy-muffin, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, kouzelna-cokoladova-pena, knedliky, orientalni-cizrnovy-gulas-s-datlemi","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""250|g|celozrnné žitné mouky"",""150|g|mouky"",""||půl kostky bio droždí"",""1|lžíce|medu"",""2.5|lžíce|olivového oleje"",""220|ml|teplé vody"",""||trochu mouky a oleje"",""4|ks|brambor"",""2||jarní cibulky"",""3.5|snítek|rozmarýnu"",""150|g|kozího sýra"",""3|lžíce|olivového oleje""]","smokey-salt-konv-uzena-morska-sul-150g, selske-koreni-na-brambory-bio-25g",Recept,,,"[""Na těsto smíchejte celozrnnou žitnou mouku a hladkou mouku a dejte je na čistou pracovní plochu se špetkou soli. Uprostřed udělejte důlek."",""Rozpusťte droždí v teplé vodě a nalijte do důlku spolu s medem."",""Začněte od středu a postupně přidávejte olivový olej. Rukama vypracujte do hladkého těsta a energicky ho hněťte na pracovní ploše asi 5 minut, dokud těsto nebude pružné."",""Vymažte mísu olivovým olejem a vložte do ní těsto. Přikryjte čistou utěrkou a nechte kynout na teplém místě asi 30–45 minut, dokud těsto nezdvojnásobí svůj objem."",""Mezitím omyjte brambory a nakrájejte je na tenké plátky, slupku ponechejte. Plátky brambor ochuťte Smokey Salt. Vše dejte do hluboké mísy a zalijte studenou vodou. Před použitím nechte ve vodě luhovat asi 45 minut."",""Předehřejte troubu na 250 °C. Těsto na pizzu rozválejte na pomoučené pracovní ploše na tenký plát. Rozmarýn omyjte, osušte a otrhejte snítky. Plátky brambor sceďte a rovnoměrně je rozložte na pizzu, poté osolte. Navrch rukama rozdrobte ¾ ovčího nebo kozího sýra a rovnoměrně posypejte jarní cibulkou a rozmarýnem. Posypte Selským kořením na brambory a pečte pizzu v předehřáté troubě asi 15–20 minut."",""Před podáváním posypte pizzu zbývajícím sýrem, pokapejte trochou olivového oleje a posypte asi 1 lžící Selského koření na brambory.""]"
wongovy-ryzove-karbanatky,MERGE,Wongovy rýžové karbanátky,Sonnentor,,S asijským salátkem,"Rychlá kuchyně, Vegetariánské & saláty",REPLACE,TRUE,,https://www.sonnentor.com/at/recipes/37082/image-thumb__37082__thumb-slider/wongs-reispatties.c59adfb4.jpg,Wongovy rýžové karbanátky,recipes,wongovy-ryzove-karbanatky-thumb.jpg,40,2,vegetariánské,,,,"polevka-z-korenove-zeleniny, rybi-spiz-s-citronovou-travou-na-listovem-spenatu, chai-mlecna-ryze, pulmesicky-vsechno-nejmilejsi, kouzelna-cokoladova-pena, orientalni-ledovy-caj, knedliky, orientalni-cizrnovy-gulas-s-datlemi","Recepty, které by vám také mohly chutnat",Další naše produkty k receptu,"[""120|g|rýže basmati"",""2||vejce"",""1|stroužek|česneku"",""||půl svazku koriandru"",""80|g|strouhanky"",""3|lžíce|řepkového oleje"",""||půl limetky"",""150|g|sýru Feta"",""100|g|baby špenátu"",""1|lžíce|sójové omáčky"",""2|lžíce|olivového oleje"",""2|lžíce|octa"",""1|hrst|cukrového hrášku"",""100|g|hlávkového salátu"",""100|g|klíčků"",""100|g|cherry rajčátek"",""||půl svazku ředkviček"",""2||vejce""]","koreni-na-ryzi-mistra-wonga-bio-40g, kurkuma-bio-40g, ayurvedska-kouzelna-sul-jemna-konv-150g, pepr-cerny-bio-mlety-50g",Recept,,,"[""V hrnci s lehce osolenou vodou přiveďte k varu rýži. Obecně platí, že na jeden šálek rýže použijte dva hrnky vody. Vsypte rýži do vody, krátce přiveďte k varu a snižte plamen. Vařte rýži pod pokličkou na mírném ohni, dokud se voda zcela nevsákne (cca 15 minut)."",""Do malého hrnce nalijte dostatek vody na dvě vejce a ihned je přidejte. Jakmile se voda začne vařit, po 3–4 minutách vaření zastavte, pokud chcete vejce naměkko. (Pro malá vejce stačí asi 3–4 minuty, pro střední vejce 4–5 minut a pro velká vejce 5–6 minut)."",""Oloupejte a najemno nasekejte česnek. Omyjte koriandr, osušte, otrhejte lístky a najemno nasekejte. Nakrájejte fetu na kostičky."",""Omyjte listy hlávkového salátu a baby špenátu a osušte. Omyjte také hrášek, klíčky, cherry rajčátka a ředkvičky, které následně nakrájejte na čtvrtky. Baby špenát najemno nasekejte."",""Do misky dejte uvařenou rýži a smíchejte Koření na rýži mistra Wonga, kurkumu, dvě vejce, polovinu koriandru, baby špenát, česnek, fetu a strouhanku. Osolte a opepřete. Ze směsi vytvarujte rovnoměrné placičky. Na pánvi rozehřejte olej a placičky smažte ze všech stran asi 4–5 minut."",""Na zálivku smíchejte sójovou omáčku, olivový olej, ocet, sůl a pepř. Listový salát s ředkvičkami, klíčky a cherry rajčátky pokapejte zálivkou. Oloupejte vejce, položte je na salát a podávejte s plackami.""]"
